study_hours_per_day,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,mental_health_rating,extracurricular_participation,exam_score
4.1,100.0,7.9,1,6,8,0,91.9
2.5,85.1,6.5,0,0,6,1,60.6
2.7,82.8,6.4,1,4,1,0,46.6
4.4,75.7,8.8,2,6,4,1,84.2
5.4,100.0,7.1,1,3,5,0,95.5
3.5,74.3,6.1,2,1,7,1,73.5
4.0,80.7,4.8,1,2,8,0,75.9
6.1,89.2,7.0,0,1,9,0,100.0
3.9,91.0,7.5,2,4,6,1,74.2
7.4,94.6,5.7,1,5,10,1,100.0
4.3,100.0,6.8,1,6,9,0,94.9
0.9,90.1,6.1,2,6,4,0,27.6
4.6,74.4,6.3,1,6,8,0,86.2
4.1,82.4,3.5,2,2,3,0,60.1
5.4,88.1,6.2,0,3,4,1,91.3
4.5,100.0,7.7,1,3,10,0,93.8
3.3,71.0,5.7,0,6,4,1,61.6
1.7,97.0,6.6,2,3,6,0,41.7
3.2,86.8,5.6,1,5,9,0,74.5
2.2,93.4,6.9,2,6,6,0,63.7
2.6,84.0,6.2,2,0,1,0,39.6
4.4,76.6,5.4,1,2,5,1,87.5
6.0,92.5,8.1,1,5,9,0,100.0
4.1,91.5,7.6,1,2,5,0,75.4
1.7,94.7,5.8,1,6,6,1,61.5
4.2,84.9,7.1,1,5,3,1,73.3
5.3,79.0,7.1,2,6,8,0,96.3
2.6,69.4,7.3,2,5,10,0,67.0
3.3,93.2,4.5,2,6,4,0,70.1
3.5,89.2,7.7,2,0,4,0,84.2
2.3,75.3,5.8,2,2,5,1,48.9
4.5,79.6,6.1,1,5,10,0,98.8
3.3,80.3,9.7,2,0,9,0,76.1
4.1,70.2,6.9,2,1,8,1,80.4
2.2,76.8,6.0,1,6,7,0,64.1
2.8,73.7,3.9,2,4,5,1,59.4
4.6,80.9,8.2,1,5,9,1,94.2
2.9,77.6,4.9,2,3,9,1,67.8
6.1,68.7,5.3,2,0,10,0,96.1
2.9,100.0,6.1,2,0,10,0,70.2
3.8,97.5,8.2,1,5,2,0,84.2
4.9,77.2,7.4,2,0,4,0,75.4
1.4,87.7,6.3,1,1,8,0,41.7
0.9,89.2,6.9,1,0,1,0,23.1
1.2,96.9,5.8,2,4,5,0,50.3
5.4,76.8,6.7,1,4,8,0,100.0
2.7,95.9,6.6,2,6,2,0,52.2
7.3,79.5,7.7,1,6,2,1,100.0
2.7,71.6,7.7,1,3,8,0,71.2
3.8,92.2,7.1,2,1,10,0,72.3
5.8,97.9,6.1,1,4,9,0,100.0
6.5,100.0,7.4,0,5,7,1,100.0
6.6,73.0,6.4,2,2,8,1,100.0
5.3,92.0,5.2,1,2,5,0,93.1
5.0,80.9,6.0,2,2,1,1,67.7
4.4,92.8,6.6,1,6,4,1,77.9
4.7,70.3,7.6,1,5,2,0,80.3
2.7,72.4,6.3,1,0,3,0,44.3
2.3,77.2,5.0,1,5,3,0,54.7
3.5,85.8,6.6,1,0,9,0,85.0
3.2,78.6,6.6,1,2,10,1,81.7
2.8,91.6,6.7,1,3,4,0,71.6
4.5,95.3,7.6,0,3,2,1,73.7
4.9,91.0,7.7,1,0,3,0,77.0
3.6,100.0,5.8,0,2,3,0,72.3
5.7,89.2,5.8,0,5,7,0,100.0
1.8,72.8,5.3,2,3,8,0,54.0
3.2,98.6,7.3,2,0,6,0,70.4
2.4,78.9,8.2,2,5,4,1,47.0
0.7,94.1,6.1,1,2,6,0,48.7
3.4,100.0,6.2,2,1,1,0,47.6
3.3,89.6,8.3,2,2,10,0,81.1
5.8,70.0,7.1,2,6,8,0,100.0
4.4,75.8,7.0,1,2,1,0,81.9
2.0,98.2,5.1,2,5,5,0,56.3
6.3,83.3,7.3,2,5,2,1,100.0
5.3,85.8,5.4,2,4,6,0,81.0
4.4,92.6,5.1,0,4,9,1,84.9
3.2,92.0,6.1,1,5,5,0,67.9
2.1,87.8,5.8,1,5,4,0,56.9
2.9,82.9,6.2,1,1,2,0,45.9
5.1,81.9,4.8,2,1,3,0,76.0
6.3,93.6,7.7,0,2,6,1,94.8
5.8,90.5,7.9,0,6,8,0,99.3
2.8,82.4,4.2,1,3,8,0,71.0
1.8,95.8,7.7,0,6,5,0,70.9
3.7,83.7,5.5,1,1,5,1,59.8
0.8,76.5,7.5,2,2,10,0,36.0
4.0,77.4,6.4,1,6,3,0,68.4
3.3,75.2,6.5,0,0,7,1,72.9
2.8,82.3,6.3,1,4,6,0,57.3
1.1,97.3,8.0,1,6,1,1,50.3
4.3,76.9,5.0,0,3,4,0,65.7
2.7,86.9,7.2,2,2,6,1,67.9
1.7,78.4,7.8,2,6,6,0,63.6
0.0,82.4,7.4,2,5,3,0,32.9
3.5,69.9,9.3,2,0,6,0,67.7
6.2,82.8,5.9,0,4,10,0,100.0
6.0,83.1,7.6,2,0,6,0,96.8
2.8,90.4,6.4,2,2,9,1,71.0
2.6,87.2,8.0,2,1,9,0,59.8
4.2,73.0,6.5,0,4,2,0,64.2
2.0,95.8,6.0,2,0,4,0,45.2
4.0,87.1,8.1,2,1,9,1,82.9
4.6,87.0,5.9,2,3,4,1,73.2
5.3,84.9,4.8,0,2,8,0,79.6
3.3,79.8,5.9,2,2,10,0,73.0
3.2,87.2,7.2,2,4,3,0,72.6
2.2,89.8,8.2,2,0,3,0,45.2
2.3,67.5,6.6,1,3,9,0,51.8
3.2,79.6,8.1,2,5,10,0,92.0
4.1,82.5,4.9,1,4,8,0,77.8
4.9,87.6,6.0,1,5,1,0,97.2
2.3,96.9,6.2,1,4,10,1,71.9
5.7,77.3,6.4,2,0,2,1,69.1
3.1,80.0,6.6,0,3,3,1,59.6
3.5,79.9,7.3,1,0,2,0,60.4
2.4,77.0,6.0,2,2,3,1,48.3
0.0,81.5,6.7,2,5,8,1,50.1
4.8,92.7,6.4,1,1,6,0,74.9
4.6,74.5,5.4,2,6,7,1,85.6
3.1,89.3,6.4,2,2,10,1,65.4
3.6,68.0,6.3,0,2,10,1,82.4
4.3,79.4,6.3,1,5,6,1,67.3
1.2,81.7,6.5,0,4,1,0,34.3
2.7,100.0,6.6,1,2,3,0,53.0
4.7,82.3,6.0,1,6,1,0,78.0
1.6,63.0,8.0,2,3,10,0,58.2
3.9,65.0,5.1,2,2,9,0,73.7
1.5,85.3,5.6,0,3,9,0,60.3
4.2,91.1,9.8,0,0,5,1,78.7
3.4,88.8,5.3,1,4,4,1,68.3
1.1,86.7,4.9,1,3,9,0,49.9
5.2,96.6,7.4,1,2,9,1,100.0
2.4,79.6,4.0,2,4,3,1,54.7
2.3,93.9,6.2,2,6,5,0,58.7
3.8,68.7,9.1,1,4,3,0,70.8
5.2,76.0,4.6,2,3,10,1,87.1
2.0,66.9,4.1,1,3,2,1,29.5
3.6,82.3,4.7,2,1,1,0,53.2
4.1,84.5,7.6,1,1,10,0,73.0
4.5,86.1,7.8,0,4,2,1,71.1
3.8,85.6,5.9,2,5,8,0,80.9
2.9,75.7,7.3,1,5,8,0,75.1
2.3,83.1,8.2,2,1,3,0,52.4
3.6,70.0,8.6,1,2,7,0,67.6
1.9,98.6,6.2,0,0,7,1,35.7
0.0,82.0,3.7,0,4,2,0,29.9
4.2,80.1,5.5,1,0,9,0,70.7
4.9,100.0,6.0,2,1,3,1,89.3
0.0,72.6,6.2,1,3,2,0,26.2
2.0,73.7,6.3,2,6,3,1,58.3
4.4,74.0,7.8,2,4,2,1,78.4
6.6,84.3,8.0,2,1,8,0,100.0
3.5,89.3,6.3,1,2,5,1,66.8
2.4,92.4,7.8,2,6,3,0,63.8
3.2,100.0,6.9,1,4,5,0,76.1
5.6,62.5,6.6,1,4,8,0,82.7
2.5,91.1,7.6,0,5,7,0,65.0
2.3,79.4,6.6,1,3,6,0,66.8
2.8,79.1,9.0,0,4,1,1,64.9
2.1,78.8,4.8,2,3,10,0,63.1
3.7,75.9,5.9,1,1,1,0,56.3
5.9,100.0,6.3,1,2,1,1,93.6
4.0,93.4,7.0,2,6,10,1,91.9
3.1,85.2,8.0,1,6,8,1,74.0
3.1,98.5,6.5,1,2,8,0,62.7
1.2,69.9,4.8,0,4,7,0,58.6
4.8,71.7,7.5,2,4,6,0,89.3
3.4,63.2,7.4,0,1,4,0,63.4
3.2,78.0,4.2,1,5,1,0,46.7
8.3,86.6,6.5,1,5,9,0,100.0
3.9,86.0,4.6,2,5,1,0,68.7
2.4,86.5,5.7,2,3,4,0,58.9
2.9,70.9,5.4,2,5,3,0,59.0
5.2,93.0,7.5,0,2,7,0,77.9
3.7,87.4,6.6,1,6,5,0,72.3
1.3,92.3,5.0,1,6,5,0,49.7
4.9,66.1,7.6,0,3,4,0,80.9
2.5,88.1,4.8,1,1,1,0,44.5
6.3,73.1,6.9,1,2,5,0,85.3
5.1,81.0,5.5,1,6,4,0,83.2
2.8,90.3,6.1,2,2,10,0,59.7
5.4,85.9,7.1,1,6,8,0,98.1
3.6,76.5,7.1,2,0,2,1,66.8
4.8,85.1,8.1,1,1,8,1,96.1
4.2,69.7,6.4,1,1,1,0,60.4
2.2,96.5,6.9,1,0,4,0,33.8
2.5,82.9,6.0,0,3,3,0,56.1
5.0,96.2,6.7,0,6,5,0,80.6
3.0,79.7,7.0,1,6,5,0,52.6
2.9,79.8,6.4,2,6,5,1,52.1
2.1,77.4,4.3,2,5,4,1,39.9
4.1,93.8,6.9,0,5,8,0,84.0
6.6,77.9,6.9,2,5,3,1,97.7
1.9,91.4,5.7,2,5,4,0,43.3
3.5,81.2,5.0,2,5,1,0,55.9
5.6,65.2,8.3,2,0,7,0,84.6
3.4,79.3,7.1,1,1,1,0,67.0
4.2,73.2,6.2,1,3,2,0,76.0
1.9,85.3,5.1,1,2,7,1,56.9
4.1,73.1,5.5,1,5,1,0,77.5
3.2,94.3,8.1,1,0,3,0,69.4
5.0,84.1,6.7,1,6,6,1,94.6
5.3,83.2,5.8,2,3,6,1,93.4
7.4,91.6,7.1,2,3,6,1,100.0
4.4,94.6,5.5,2,3,2,1,63.6
4.0,84.8,8.3,2,0,2,0,53.0
3.8,77.3,8.1,2,2,6,0,67.8
3.0,67.3,5.9,0,5,10,0,73.9
4.0,78.1,5.7,1,3,5,0,66.5
3.1,78.8,3.4,1,0,7,0,49.9
3.8,86.1,4.7,2,6,7,0,73.9
5.5,81.5,4.9,1,1,5,0,80.3
2.0,91.9,6.7,2,6,8,0,71.7
5.2,78.9,6.1,0,0,10,0,83.3
5.5,84.4,4.9,1,0,6,0,84.5
3.3,96.8,6.2,2,0,5,0,74.9
0.3,88.4,7.1,0,3,4,1,34.0
2.6,84.4,7.1,1,0,7,0,63.0
5.4,79.0,4.2,1,1,4,0,77.9
3.5,78.7,6.3,1,3,5,1,72.9
2.0,76.5,4.8,2,6,5,0,53.2
2.7,79.6,7.6,1,1,1,0,57.3
4.8,92.6,7.4,1,4,1,1,76.6
4.3,82.8,5.4,0,6,3,0,64.6
3.1,71.5,5.6,2,0,3,1,51.1
2.9,100.0,5.9,1,5,2,0,63.0
2.9,88.2,3.8,2,5,2,1,61.6
2.1,70.9,6.9,2,3,6,0,62.5
5.9,80.6,6.2,1,5,1,1,87.1
3.0,86.1,7.7,2,6,6,1,82.5
5.3,100.0,5.2,2,3,5,1,80.9
5.8,73.9,5.8,1,6,6,0,100.0
5.0,94.8,4.7,0,0,5,0,79.6
2.9,99.0,5.3,2,2,7,0,71.2
4.1,78.7,5.1,2,2,1,0,62.7
3.5,82.2,7.7,1,1,3,0,64.2
2.1,74.6,5.7,1,0,6,1,44.1
4.0,83.0,6.6,2,5,1,0,61.7
1.7,84.6,6.0,2,0,7,1,39.9
5.3,91.6,5.0,2,4,4,0,84.1
2.8,95.9,6.3,1,2,3,0,40.7
3.8,77.5,7.2,2,5,10,0,81.8
3.9,65.3,5.1,1,6,9,1,77.0
3.1,84.8,7.5,1,6,1,0,65.7
4.4,87.9,5.5,2,2,8,1,80.9
2.8,87.5,5.9,2,0,1,1,47.4
4.8,81.7,7.1,1,5,5,1,83.0
1.5,86.2,5.7,1,1,10,0,54.2
3.7,100.0,6.5,2,6,8,0,82.5
6.4,88.8,6.1,1,0,6,0,85.0
2.0,81.3,6.7,2,1,7,1,40.4
2.5,80.0,3.6,2,5,8,0,58.9
4.3,83.3,4.3,0,2,6,0,67.5
3.8,100.0,7.2,2,4,6,1,81.0
4.0,83.2,7.7,2,3,6,1,74.7
4.2,84.8,5.4,2,2,5,0,67.4
4.5,80.2,6.2,2,1,8,0,72.2
5.2,96.0,6.9,2,0,2,0,77.1
4.1,100.0,7.3,0,6,7,0,87.9
3.1,89.5,4.1,1,5,4,1,54.1
4.5,85.8,5.4,2,2,1,1,62.9
6.3,85.4,6.1,1,6,5,0,95.6
3.3,61.2,7.3,0,6,3,0,67.1
2.0,92.5,9.5,2,4,4,0,51.5
5.2,86.3,6.2,2,5,7,0,97.9
3.3,89.3,4.8,0,1,5,0,67.0
0.2,77.9,7.0,2,5,4,1,31.5
4.8,81.2,8.1,2,5,1,0,88.0
2.7,80.9,6.6,1,0,6,0,53.4
3.4,95.2,5.4,2,3,10,1,83.4
4.0,81.2,7.6,1,6,6,0,79.0
3.8,100.0,7.3,0,1,7,1,69.9
4.6,89.3,5.3,1,0,1,1,60.1
2.8,72.2,7.0,1,6,4,0,70.3
4.3,83.7,7.7,1,3,9,0,79.8
3.1,78.5,7.9,2,0,10,1,66.6
4.6,63.1,6.4,2,3,6,0,91.7
4.4,100.0,6.1,1,3,2,0,70.1
2.1,92.0,8.0,2,3,4,0,61.5
5.1,90.3,5.0,0,0,6,0,79.3
2.7,86.7,7.0,0,5,4,1,63.9
4.7,71.2,4.9,2,3,10,1,93.1
4.1,80.2,7.8,0,5,7,1,89.8
6.3,93.4,6.2,1,6,3,1,100.0
3.2,74.5,8.0,2,6,6,1,61.8
3.0,59.7,7.1,1,1,4,1,51.5
3.5,82.7,5.0,2,4,3,0,60.4
3.0,83.6,8.2,1,5,3,0,67.2
4.7,86.4,8.4,0,6,2,0,89.6
1.1,92.3,7.6,1,4,3,1,48.3
1.9,91.4,5.6,1,3,10,0,61.7
1.9,87.6,6.1,1,4,1,1,44.4
